"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","all_rate","violence_rate","property_vh_rate","property_personal_rate","damage_rate","other_rate","sample.r","TOTAL.y","violence.r","violence.r.w","violence.r.wo","property_personal.r","property_personal.r.w","property_personal.r.wo","property_vh.r","property_vh.r.w","property_vh.r.wo","damage.r","damage.r.w","damage.r.wo","sample.f","violence.f.nw","violence.f.w","violence.f.w2","violence.f.wo","property_personal.f.nw","property_personal.f.w","property_personal.f.w2","property_personal.f.wo","property_vh.f.nw","property_vh.f.w","property_vh.f.w2","property_vh.f.wo","sample.p","violence.p","violence.p.w","violence.p.w2","violence.p.wo","property_personal.p","property_personal.p.w","property_personal.p.w2","property_personal.p.wo","property_vh.p","property_vh.p.w","property_vh.p.w2","property_vh.p.wo","sample.rp","violence.rp","violence.rp.w","violence.rp.w2","violence.rp.wo","property_personal.rp","property_personal.rp.w","property_personal.rp.w2","property_personal.rp.wo","property_vh.rp","property_vh.rp.w","property_vh.rp.w2","property_vh.rp.wo"
"1","el raval","2014",12633,1646,250,8969,367,1401,48297,261.569041555376,34.0807917676046,5.17630494647701,185.705116259809,7.59881566142825,29.0080129200571,412,48297,69,154.353082028313,49.7056107736375,139,331.514399306225,106.756052300588,93,227.384197093436,73.2234837703419,67,135.758502826717,43.7176842343762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","el raval","2015",12430,1656,236,9042,338,1158,48297,257.365881938837,34.2878439654637,4.8864318694743,187.21659730418,6.99836428763691,23.9766445120815,202,48297,43,202.495880872966,31.9725659490363,92,436.505872652248,68.920971332108,61,295.344024082222,46.6325845588263,NA,NA,NA,126,27,161.071523428032,73.0512641309928,25.1775169324622,59,358.163876413552,154.808421996776,55.9542792626291,40,209.944074228065,99.4966141304021,32.7587147663613,22,6,46.5339123820784,35.7848696216019,7.27921499385554,9,64.8166621344645,58.099093848491,9.93054328134291,7,41.1155484412681,35.745620574428,6.3813668119666,26,6,31.080128485679,25.4476448017829,4.90731689666463,7,30.9178641935935,25.6976952666187,4.88169659388359,13,62.9131675202798,36.731431098868,9.93351266669374
"3","el raval","2016",12908,1568,297,9577,359,1107,48297,267.262976996501,32.4657846243038,6.14945027641468,198.293889889641,7.43317390314098,22.9206783030002,33,48297,1,24.35681319643,1.16492841583746,12,315.862486496413,15.1069511043702,8,225.641307419836,10.7918867989926,NA,NA,NA,33,2,75.2314819547724,43.7566192849438,3.37529115905577,17,366.576715206782,163.680305964456,18.2462591175845,9,149.817599232112,22.9162901493806,6.23579643302272,3,0,0,0,0,3,51.4481965859602,39.9665935972923,2.47219883555346,0,0,0,0,1,0,0,0,0,1,29.5008729809178,29.5008729809178,1.41095655455122,0,0,0,0
"4","el raval","2017",14997,1675,409,11242,468,1203,48297,310.516181129263,34.6812431413959,8.46843489243638,232.768080833178,9.69004285980496,24.9083794024474,94,48297,16,157.006705315434,14.6169507943513,36,386.011724487079,35.9367733469386,24,256.399656697218,23.8701981428267,NA,NA,NA,93,25,215.873691520576,46.335897175464,22.0414265391721,37,345.094157218818,132.530611534796,37.8799111747169,27,245.832688801393,58.7329646934633,24.8369609531702,13,1,11.1038276905372,11.1038276905372,1.28593623625502,9,87.3978359149569,62.9350397218033,9.20447150742662,3,27.2740386602522,24.5045767640908,3.09816253960517,10,0,0,0,0,8,87.8340136909552,64.419989376432,8.17713774460603,1,13.1012539961773,13.1012539961773,1.21969558320257
"5","el raval","2018",16676,1896,361,12388,498,1533,48297,345.280245149802,39.2570967140816,7.4745843427128,256.496262707829,10.3111994533822,31.741101931797,162,48297,47,292.293185260188,34.5754766504358,68,419.240020318088,49.5920680481587,53,346.531181503898,40.9913107076736,NA,NA,NA,151,34,229.979159679283,64.0403364044979,28.1598773077081,71,471.459020614761,206.590137344727,58.3368726945405,25,168.38351929369,49.1620812693884,20.5369626145778,36,8,52.5218601095911,38.118932792796,6.08775869926732,13,89.4448163269551,73.9626720564964,10.6282197875324,6,44.6673221859418,26.1022151101863,5.334976335755,31,7,33.3431513693799,18.70258617229,3.9441745814146,13,74.4001061362741,47.8944870291929,8.80081802185988,7,55.2915668896853,33.9613705178798,6.5404613462287
"6","el raval","2019",15705,2277,316,11022,509,1581,48297,325.175476737686,47.1457854525126,6.54284945234694,228.212932480278,10.5389568710272,32.7349524815206,42,48297,17,429.307090911102,13.2405834178704,28,812.802063481892,25.0682407805319,17,520.082555643031,16.0402579131793,NA,NA,NA,65,17,461.288009616404,180.37624028723,13.886712315069,40,1341.15149612873,286.051608773404,37.5050089094197,5,156.527435196594,44.0883899529153,4.8275805519713,4,3,100.834567254197,77.6368795065438,2.71896158677429,1,58.348938867873,19.449646289291,1.09191180858189,0,0,0,0,4,1,22.1892065521253,11.0946032760627,0.684354035956534,2,61.1373222950966,50.042719019034,1.88558221592729,1,19.4253483720572,19.4253483720572,0.599111803617231
"7","el raval","2020",9084.21203438395,1639.88538681948,345.12893982808,4810.888252149,396.375358166189,1891.9340974212,48297,188.09060675371,33.9541873577962,7.14597055361783,99.6104986261879,8.20703890854896,39.1729113075595,275,48297,113,415.132322614889,57.14536755707,248,920.680212380186,126.736961380371,118,438.554249580466,60.3695314017734,NA,NA,NA,344,57,251.572310607949,76.9415470319068,33.910586431739,200,1016.25566676197,355.86144123664,142.399570880149,63,239.977514453501,78.8227922207797,33.5725746886437,49,8,28.2442512831217,11.2597819746472,3.82267243837263,27,158.86911199217,132.36400873176,22.2517717134751,13,47.7807970788459,34.282257882922,6.57730333798511,61,12,37.7162511344701,22.6164958818214,5.19186032149439,27,98.8285607502225,60.5231944906641,13.6043235410673,21,78.4761886145661,51.2534370901514,10.8027016894504
"8","el barri gòtic","2014",13336,1059,136,11084,148,909,19180,695.307612095933,55.2137643378519,7.09071949947862,577.893639207508,7.71637122002086,47.393117831074,140,19180,40,293.828476605294,30.1839108998212,45,344.069280593181,35.3449625740021,42,335.315935668529,34.4457638770833,25,159.128433408154,16.3466744650212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","el barri gòtic","2015",12293,905,146,10314,160,768,19180,640.928050052138,47.18456725756,7.61209593326382,537.747653806048,8.34202294056309,40.0417101147028,56,19180,24,392.631755786961,17.2069530922704,31,531.784913925846,23.305292896543,17,291.081818819476,12.7565616601758,NA,NA,NA,65,9,138.353736003585,37.8565272073271,7.2922300824852,36,535.516542483834,237.101152142696,31.9060171983451,20,328.117701023354,139.040208307345,16.6225533368062,13,2,30.0564584267772,17.369868404319,1.58682736577392,5,67.1297545277553,45.4712092633333,3.96568073406354,6,88.5046441968251,50.2168911830205,4.76237750457965,17,4,67.2460229795622,29.1862529121875,2.94703407454107,5,85.473554727736,32.5875053459014,3.7458494509236,8,135.375802900531,73.1862541688942,5.93279849631368
"10","el barri gòtic","2016",13129,842,174,11355,167,591,19180,684.51511991658,43.8998957247132,9.07194994786236,592.022940563087,8.70698644421272,30.8133472367049,9,19180,4,496.413841133023,5.15111123090129,6,671.563181211815,6.96857411772489,6,933.299283350127,9.68451727551388,NA,NA,NA,24,1,96.6410577912643,48.3205288956322,1.75829221373686,20,761.2617055043,409.904332253054,15.6568611373538,3,513.819272087712,171.273090695904,5.33172124504742,6,0,0,0,0,5,262.261708526604,208.849880651113,6.18561429955743,1,171.273090695904,171.273090695904,1.77724041501581,1,0,0,0,0,0,0,0,0,1,171.273090695904,171.273090695904,1.77724041501581
"11","el barri gòtic","2017",13131,817,160,11444,161,549,19180,684.619395203337,42.5964546402503,8.34202294056309,596.663190823775,8.39416058394161,28.6235662148071,36,19180,12,297.789443565729,10.3080769183358,15,419.380459843347,14.5169888708901,3,86.9868796745902,3.01107868645377,NA,NA,NA,47,10,256.803985202354,74.4874433441814,9.8079470288482,29,624.555828297603,275.534187070095,27.8304372888939,7,144.407483635704,53.1175526785851,6.14344308388672,10,0,0,0,0,5,104.296382144546,62.0811282242062,5.22124098267887,5,97.9133210301527,57.8507330166828,4.38641388071489,3,2,46.5154875881391,23.2577437940696,1.61014849354993,0,0,0,0,1,25.8755819226244,25.8755819226244,0.895691551625599
"12","el barri gòtic","2018",17265,1121,323,14933,197,691,19180,900.156412930136,58.4462982273201,16.8404588112617,778.571428571429,10.2711157455683,36.0271115745568,60,19180,17,271.165998221304,11.7245785251166,20,325.187265517241,14.0603307750009,15,276.537948052923,11.9568489721746,NA,NA,NA,67,13,306.735518972898,84.9179595756987,14.9918607402952,41,782.53457716104,300.831817575796,41.0169590824402,7,149.97577495789,76.6637147418724,7.48595531318848,21,2,35.5804400219412,31.4306381324056,1.88562593391445,14,259.247261589736,175.774603111323,13.6618325813637,3,41.6012301498847,36.5538956877573,1.84416356969657,6,2,34.63718778206,34.63718778206,1.49763034710768,2,35.1330452887576,35.1330452887576,1.5190700567788,2,31.5065612256299,31.5065612256299,1.36226943484565
"13","el barri gòtic","2019",15605,1348,370,12794,268,825,19180,813.607924921794,70.281543274244,19.2909280500521,667.049009384776,13.9728884254432,43.0135557872784,18,19180,6,195.769947104741,2.74847785071639,13,502.762854554042,7.05845095399357,10,404.823336236029,5.68344625696073,NA,NA,NA,32,3,204.781067692179,21.8702520365402,2.36020038281967,19,1311.89215769673,328.045176772382,16.8950776581635,9,415.856346078802,80.2943733450138,5.46649941332947,4,1,62.635483242086,62.635483242086,0.682413582731011,2,161.844380837792,66.5079429454552,2.87898159591791,1,48.9148097145593,48.9148097145593,0.599111803617231,1,0,0,0,0,1,42.6738334723709,42.6738334723709,0.599111803617231,0,0,0,0
"14","el barri gòtic","2020",5762.60744985673,679.799426934097,166.289398280802,4102.85100286533,167.335243553009,646.332378223496,19180,300.448772151029,35.4431400904118,8.66993734519303,213.912982422593,8.72446525302443,33.6982470398069,96,19180,27,265.111327693114,12.8849789280067,66,657.988467855849,31.9796502735942,25,240.657483685112,11.6964696798594,NA,NA,NA,167,25,294.616373789944,73.8073367478887,16.3002430799016,95,1453.27041959476,405.894648895391,81.1419095456537,32,351.224156170343,94.37253047417,20.192911477451,30,4,62.7811100925169,47.1026662419729,3.26614419565318,15,246.51761862546,168.215882192846,13.1790318605084,8,85.6526593226627,46.7511591222197,4.54625192541202,18,4,39.8780918549591,21.7698596103243,1.93816076329661,10,104.827343765267,94.042366252011,5.09483365817514,2,18.8406350189272,18.8406350189272,0.915695256485441
"15","la barceloneta","2014",7940,722,390,6140,174,514,15173,523.297963487774,47.5845251433467,25.7035523627496,404.666183352007,11.4677387464575,33.8759638832136,143,15173,14,88.2357034650086,10.0353855985798,33,247.536683846938,28.1532982074867,44,306.715305239507,34.8839102108499,17,96.9945113943793,11.0315584798895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","la barceloneta","2015",8101,792,396,6315,164,434,15173,533.908917155474,52.1979832597377,26.0989916298688,416.199828642984,10.8086733012588,28.6034403216239,71,15173,4,52.6349790595835,2.98883432728344,23,317.127303575362,18.0078151066026,24,331.562718783743,18.8275183775882,NA,NA,NA,60,3,48.3402372628771,9.00740737355937,2.25691793846075,28,530.164864507426,214.739520381987,26.5292889523876,29,468.937167036873,231.972410145181,25.5297883419532,9,0,0,0,0,6,127.636589013478,89.4083940130773,5.88201471667887,3,55.9617337336166,39.9247735655056,2.49896792699597,2,0,0,0,0,1,14.8946992018629,14.8946992018629,0.845783337705793,1,16.8079882082599,16.8079882082599,0.954427892382254
"17","la barceloneta","2016",8873,765,386,7184,175,363,15173,584.788769524814,50.4185065577012,25.4399261846701,473.472615830752,11.5336452909774,23.9240756607131,14,15173,1,58.868940739099,1.16492841583746,5,356.634975118982,7.05727351947503,4,284.281892960166,5.62551408365003,NA,NA,NA,12,1,58.868940739099,29.4344703695495,1.16492841583746,6,498.670188157672,179.402811011556,8.24186945692486,3,209.509849909444,142.689358014534,4.14588702451806,3,1,58.868940739099,29.4344703695495,1.16492841583746,0,0,0,0,2,133.64098378982,104.206513420271,2.64455547496943,3,1,58.868940739099,29.4344703695495,1.16492841583746,0,0,0,0,2,133.64098378982,104.206513420271,2.64455547496943
"18","la barceloneta","2017",9609,897,412,7702,220,378,15173,633.295986291439,59.1181704343241,27.1534963421868,507.612205892045,14.4994397943716,24.9126738285112,38,15173,4,111.882218173267,3.87871517939826,4,99.829314448016,3.46086700478881,9,237.192430453957,8.22294995095078,NA,NA,NA,21,2,62.4994971725811,19.222547955588,1.82218213254396,13,385.342296654083,162.38510379271,12.8327768908016,3,85.5850362193407,25.8236252843897,3.02053907044752,6,1,29.3998237639395,14.6999118819698,0.805074246774966,4,116.039377009598,116.039377009598,4.04419621944945,1,31.1876587205823,31.1876587205823,1.13469932514377,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","la barceloneta","2018",11614,1097,568,9292,239,418,15173,765.43860805378,72.2994793382983,37.4349172872866,612.40361167864,15.7516641402491,27.548935609306,70,15173,11,161.112051806825,8.50937402303546,41,604.899978784662,31.9486972469111,26,374.357041609047,19.7722271517461,NA,NA,NA,51,7,178.851236951424,28.5216516937555,7.28128354722246,26,711.251274926176,183.751770126866,28.70560258766,8,121.615236784963,33.7587396354991,5.91846417435372,10,1,16.8362205985834,5.61207353286114,0.625670092879467,6,150.161040513806,83.5634977311232,5.7794390428743,3,47.5000676416497,23.7500338208249,2.23322287237109,9,0,0,0,0,5,61.7801570191152,61.7801570191152,3.26301140964825,4,57.4256154520408,42.4771052410045,3.03301978284233
