"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","all_rate","violence_rate","property_vh_rate","property_personal_rate","damage_rate","other_rate","sample.r","TOTAL.y","violence.r","violence.r.w","violence.r.wo","property_personal.r","property_personal.r.w","property_personal.r.wo","property_vh.r","property_vh.r.w","property_vh.r.wo","damage.r","damage.r.w","damage.r.wo","sample.f","violence.f","violence.f.w","violence.f.w2","violence.f.wo","property_personal.f","property_personal.f.w","property_personal.f.w2","property_personal.f.wo","property_vh.f","property_vh.f.w","property_vh.f.w2","property_vh.f.wo","sample.p","violence.p","violence.p.w","violence.p.w2","violence.p.wo","property_personal.p","property_personal.p.w","property_personal.p.w2","property_personal.p.wo","property_vh.p","property_vh.p.w","property_vh.p.w2","property_vh.p.wo"
"1","el raval","2015-16",12669,1612,266.5,9309.5,348.5,1132.5,48297,262.314429467669,33.3768142948837,5.51794107294449,192.755243596911,7.21576909538895,23.4486614075408,235,48297,44,161.08053101205,33.1374943648738,104,408.45762859653,84.0279224364781,69,279.138918517895,57.4244713578189,NA,NA,NA,159,29,21328.5227018634,8897.68878512847,4312.71284658835,76,55895.4388048833,23318.0809541298,11302.2819427833,49,36037.8487031485,15034.0258783205,7286.99756837342,25,6,34.6975335648592,26.9512716213266,7.27921499385554,12,63.7900644790199,52.6613167340883,12.4027421168964,7,32.2302516284072,28.1087722026295,6.3813668119666
"2","el raval","2017-18",15836.5,1785.5,385,11815,483,1368,48297,327.898213139533,36.9691699277388,7.97150961757459,244.632171770503,10.0006211565936,28.3247406671222,256,48297,63,232.711522899329,49.1924274447871,104,404.605911249403,85.5288413950972,77,306.836260908034,64.8615088505003,NA,NA,NA,244,59,55509.7809370271,18809.2366766813,12643.1655094154,108,101611.1244271,34430.4671369759,23143.4216104553,52,48923.8747241595,16577.6323252106,11143.1289235525,49,9,32.7976530342536,25.1601056834076,7.37369493552234,22,88.9595042073283,69.687393979054,19.832691294959,9,37.6137685914473,25.8552626066415,8.43313887536018
"3","el raval","2019-20",12394.606017192,1958.44269340974,330.56446991404,7916.4441260745,452.687679083095,1736.4670487106,48297,256.633041745698,40.5499864051544,6.84441000298238,163.911715553233,9.37299788978807,35.9539318945401,317,48297,130,417.726869103781,70.3859509749403,276,900.934219598988,151.805202160903,135,453.477172891771,76.4097893149527,NA,NA,NA,409,74,122676.425483472,38390.6804876861,20829.2302384938,240,397869.488054505,124510.315095198,67554.2602329528,68,112729.68828211,35277.9226103061,19140.37373267,53,11,39.2458762990348,20.1758528756031,6.54163402514691,28,139.202529476533,113.01702019039,23.343683522057,13,39.0350104312801,28.0072408976233,6.57730333798511
"4","el barri gòtic","2015-16",12711,873.5,160,10834.5,163.5,679.5,19180,662.721584984359,45.5422314911366,8.34202294056309,564.885297184567,8.5245046923879,35.4275286757039,65,19180,28,412.500466261981,22.3580643231717,37,558.544965182711,30.2738670142679,23,414.03206425165,22.4410789356897,NA,NA,NA,89,10,10942.8387422568,4634.78059148807,785.676752137746,56,61279.8969566382,25954.7713123332,4399.78981197138,23,25168.5291071907,10659.9953604226,1807.05652991682,19,2,24.2186213755742,13.9608338119507,1.58682736577392,10,127.528670816281,93.4690121312633,10.151295033621,7,103.991264533438,73.4941857341973,6.53961791959546
"5","el barri gòtic","2017-18",15198,969,241.5,13188.5,179,620,19180,792.387904066736,50.5213764337852,12.5912408759124,687.617309697602,9.33263816475495,32.325338894682,96,19180,29,283.003429331977,22.0326554434524,35,367.067849885823,28.577319645891,18,192.258934392024,14.9679276586284,NA,NA,NA,114,23,27606.5498395765,10536.3414569052,2595.46051611845,70,84019.9342943633,32067.1261731899,7899.2276577518,14,16803.9868588727,6413.42523463798,1579.84553155036,31,2,17.8066386790166,15.7091813391047,1.88562593391445,19,192.478243509906,127.244423876401,18.8830735640426,8,69.7084362513429,47.5221036075561,6.23057745041147
"6","el barri gòtic","2019-20",10683.8037249284,1013.89971346705,268.144699140401,8448.42550143266,217.667621776504,735.666189111748,19180,557.028348536411,52.8623416823279,13.9804326976226,440.480995903684,11.3486768392338,38.3559014135426,114,19180,33,249.570406058421,15.6334567787231,79,623.199009215838,39.0381012275878,35,277.450645689361,17.3799159368201,NA,NA,NA,199,28,63378.5737144085,16752.0587074355,4356.5314562263,114,258041.335837235,68204.8104517018,17737.3066432071,41,92804.3400818124,24529.8002501735,6379.20677518852,34,5,63.1868956686971,50.648812665212,3.94855777838419,17,235.492281250756,151.481524345215,16.0580134564263,9,78.130594032838,46.1460992750884,5.14536372902925
"7","la barceloneta","2015-16",8487,778.5,391,6749.5,169.5,398.5,15173,559.348843340144,51.3082449087194,25.7694589072695,444.836222236868,11.1711592961181,26.2637579911685,85,15173,5,54.2460076210779,4.1537627431209,28,327.337181423033,25.0650886260776,28,319.344042325863,24.4530324612382,NA,NA,NA,72,4,4102.57646260566,1739.3892565074,282.052942420206,34,34871.8999321481,14784.8086803129,2397.45001057175,32,32820.6117008453,13915.1140520592,2256.42353936164,12,1,15.2133666825779,7.60668334128897,1.16492841583746,6,95.1895100155486,66.4200449989728,5.88201471667887,5,77.7687562837753,57.1953316605843,5.14352340196541
"8","la barceloneta","2017-18",10611.5,997,490,8497,229.5,398,15173,699.367297172609,65.7088248863112,32.2942068147367,560.007908785342,15.1255519673104,26.2308047189086,108,15173,15,141.603507005948,12.3880892024337,45,404.753178448868,35.4095642516999,35,320.002156282157,27.9951771026969,NA,NA,NA,72,9,8410.53518141746,2555.57701092817,638.978563669352,39,36445.652452809,11074.1670473554,2768.90710923386,11,10279.5429995102,3123.48301335666,780.973800040319,16,2,22.4932392575686,9.67639249579155,1.43074433965443,10,137.789586860955,102.324235461158,9.82363526232375,4,43.5675155823122,29.6174887249786,3.36792219751486
"9","la barceloneta","2019-20",7449.95128939828,758.790830945559,628.892550143266,5391.27936962751,258.21776504298,412.770773638968,15173,491.000546325597,50.0092816809832,41.4481348542323,355.320593793416,17.0182406276267,27.2042953693382,104,15173,23,196.19589320359,10.7681463735985,68,684.628244793654,37.5755936123896,62,563.741315619662,30.9407546932609,NA,NA,NA,104,14,17251.9821530139,4980.96425341675,943.421319565656,52,64078.7908540515,18500.7243698336,3504.1363298153,23,28342.5421085228,8183.01270204181,1549.90645357215,29,4,28.0837854993603,18.6140408644309,1.52563015981455,13,185.097261357098,136.513973266831,10.1169614189493,7,54.7728105873204,26.5798149221037,3.00618749998819
"10","sant pere, santa caterina i la ribera","2015-16",5954.5,725.5,257,4437,195,340,23170,256.991799741044,31.3120414328874,11.0919292188174,191.497626240829,8.41605524384981,14.6741476046612,124,23170,27,239.983705866583,25.4896462440625,39,320.909230741862,34.0850756451433,32,255.98131391024,27.1888173119962,NA,NA,NA,65,10,6837.32656450062,3270.20688839053,687.899444127907,31,21195.7123499519,10137.6413540107,2132.48827679651,21,14358.3857854513,6867.43446562012,1444.5888326686,14,2,27.5274245904068,27.5274245904068,2.80549793151577,6,87.2228190577543,74.1499751226244,8.7394933516732,6,70.1879013535308,70.1879013535308,6.46715601867945
