"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","all_rate","violence_rate","property_vh_rate","property_personal_rate","damage_rate","other_rate","sample.r","TOTAL.y","violence.r","violence.r.w","violence.r.wo","property_personal.r","property_personal.r.w","property_personal.r.wo","property_vh.r","property_vh.r.w","property_vh.r.wo","damage.r","damage.r.w","damage.r.wo","sample.f","violence.f.nw","violence.f.w","violence.f.w2","violence.f.wo","property_personal.f.nw","property_personal.f.w","property_personal.f.w2","property_personal.f.wo","property_vh.f.nw","property_vh.f.w","property_vh.f.w2","property_vh.f.wo","sample.p","violence.p","violence.p.w","violence.p.w2","violence.p.wo","property_personal.p","property_personal.p.w","property_personal.p.w2","property_personal.p.wo","property_vh.p","property_vh.p.w","property_vh.p.w2","property_vh.p.wo","sample.rp","violence.rp","violence.rp.w","violence.rp.w2","violence.rp.wo","property_personal.rp","property_personal.rp.w","property_personal.rp.w2","property_personal.rp.wo","property_vh.rp","property_vh.rp.w","property_vh.rp.w2","property_vh.rp.wo"
"1","el raval","2015-20",15738.8686723973,2059.64756446991,369.021489971347,11175.1480420248,489.229226361032,1645.8223495702,48297,325.876735043529,42.6454555038597,7.64067105557999,231.383896350184,10.1295986574949,34.0771134764106,808,48297,237,260.78280502773,152.715872784601,484,548.768594859477,321.361965992478,281,339.299636498865,198.695769523272,NA,NA,NA,812,162,209.636973641727,59.6922356471751,126.551410685206,424,576.841941191937,191.27069741714,350.32190203904,169,207.133989622518,60.5932997847225,122.768590007747,127,26,34.5505190651151,22.9183899474664,21.1945439545248,62,92.4261916577874,72.9813223243786,55.5791169339124,29,35.8511710647632,26.0819565042765,21.3918090253119,133,26,25.14953010045,15.7384810554054,14.7277058355302,58,66.188769747021,45.0967681360621,38.7605146718953,43,49.6844339444564,31.8284508940643,29.0954830891926
"2","el barri gòtic","2015-20",15086.9345749761,1128.63323782235,245.881566380134,12671.1418338109,211.389207258835,829.888729703916,19180,786.597214545157,58.8442772587252,12.8196854212791,660.643474129869,11.021335102129,43.2684426331552,275,19180,90,308.297331452022,60.0241765453471,151,502.780845493672,97.8892878877466,76,281.407918969458,54.7889225311382,NA,NA,NA,402,61,226.911924574717,49.1856189570417,52.5107735280868,240,887.616011861606,272.183771212776,214.44726191085,78,276.043368583905,84.7141103196066,61.2430838697093,84,9,31.0568577525037,24.034709660525,7.42101107807256,46,184.928285443301,120.583279254626,45.0923820540898,24,80.717751868617,46.7992521876747,17.9155590990362,46,12,41.053665327415,22.4529103993359,7.99297367849529,18,56.2871332901306,41.6905829291934,10.9588649694948,14,55.9010446377183,36.0844193387228,10.8836951542862
"3","la barceloneta","2015-20",10172.8170964661,965.09694364852,568.297516714422,7902.59312320917,248.07258834766,488.756924546323,15173,670.455222860746,63.6062046825624,37.4545255858711,520.83260549721,16.3496070880946,32.2122800070074,297,15173,43,124.736396562878,27.3099983191531,141,447.837245771926,98.0502464901671,125,380.872924011071,83.388964257196,NA,NA,NA,248,27,96.8874515492089,18.3579819216817,19.3583937046321,125,591.57914602296,163.00384360569,115.636241417823,66,235.869680883703,87.707222929714,50.2654408009845,57,7,21.2878585625154,10.3022422326914,4.12130291530644,29,133.095629990807,94.094464686725,25.8226113979519,16,55.7752406888117,34.9813420370776,11.5176330994685,45,5,12.7753878225127,7.87116826746043,2.79706508744203,15,41.1925327137201,39.9732838694104,9.01876300880851,18,53.5315469754279,33.5407304760324,11.7202877283989
"4","sant pere, santa caterina i la ribera","2015-20",7563.0558739255,1024.61891117479,406.795606494747,5315.47994269341,316.833333333333,499.328080229226,23170,326.415877165537,44.2217915914884,17.5569963959753,229.41216843735,13.6742914688534,21.5506292718699,450,23170,131,286.320484647963,92.9502576883896,297,630.291893305945,204.616145343994,197,417.524676455177,135.544008719763,NA,NA,NA,455,88,209.42764861345,43.9731105578165,65.3629816646661,213,579.358253413595,181.963188784156,175.15996761173,101,265.466763618762,81.2318684060294,81.5823303404806,63,12,26.9316596440353,20.330025609403,8.25527300157447,30,94.0529097472188,73.0160700246896,28.1821013616901,21,61.3342128566431,51.2168931028637,19.1508445780336,75,14,26.4778264623404,17.6474898305696,8.59568534095281,33,68.1576745255899,49.9300413949399,22.1265112008465,27,64.6158174625591,45.5252027128289,20.9766929225318
"5","el fort pienc","2015-20",3923.34670487106,444.231136580707,233.66141356256,2783.83046800382,211.09264565425,250.531041069723,32649,120.16743866186,13.6062708377196,7.15677091373579,85.2654129683549,6.46551642176637,7.6734675202831,265,32649,24,101.82731560815,39.7726063221445,91,360.12352990617,140.660207889765,75,284.992000407971,111.314675924536,NA,NA,NA,94,12,36.0373209019438,10.0935699054875,14.6155666007898,40,114.03197323235,44.7749119188568,46.377223639093,28,100.217183311722,48.6089700105183,40.0136997053689,22,5,14.8792315115439,9.388777813164,6.01852071806997,11,23.3403255840832,18.0910505557973,9.48445634647026,6,21.6607060763517,14.0311485088885,8.50128421021404,32,5,20.2223963171963,16.0956560590966,7.89864097674256,11,40.5645982464002,27.5972271362105,15.8440766805493,15,59.9489849772542,39.7359370487841,23.4154005206993
"6","la sagrada família","2015-20",6134.06829035339,538.74594078319,337.477554918816,4671.38347659981,308.71776504298,277.743553008596,51911,118.165095843913,10.378261655202,6.50107982737408,89.9883160909982,5.94705871670705,5.3503795536321,457,51911,67,148.160580512104,98.2846789900237,150,323.610274045403,214.672025396308,116,252.281674301575,167.355063594466,NA,NA,NA,191,27,48.7115151039973,12.4801798517601,31.9115915374977,88,155.408831334283,64.9467479499331,104.475729984472,50,106.259422259915,46.132464553953,71.1110603147115,53,12,22.5491886888288,14.1986964575881,15.0111301484731,17,33.277673342134,24.8119728827322,22.4720227072712,16,33.651574437852,22.2993063448448,22.3270714877562,67,14,27.6001450193683,16.7005134815235,18.3089954421791,23,46.2806689405011,33.9487520886855,30.7010182771869,21,49.5930431703628,35.0956369557516,32.8983344374741
"7","la dreta de l'eixample","2015-20",23875.1852913085,1570.48853868195,1071.96513849093,19744.476599809,603.005730659026,885.249283667622,44215,539.979312253952,35.5193608205801,24.2443772134101,446.556069202962,13.6380352970491,20.0214697199507,393,44215,43,105.875661808534,60.3198138167996,159,407.475155954879,232.148022711943,113,275.978782049381,157.231496514376,NA,NA,NA,730,105,197.830465231771,56.3608036466941,110.826771476289,481,855.479058025749,300.567361694258,481.884680781209,100,195.360931875179,81.4074562910015,109.218755348761,146,19,41.3651883396003,19.820732168482,23.6244153858232,86,153.913928280252,101.299816123197,86.4660979330273,35,72.643785893394,50.1208911073105,40.641229194679,51,5,12.32355606089,9.25421398958991,7.02101497602029,23,62.699950789736,41.5666857142211,35.7216124400605,19,53.3911797205442,41.9065611165301,30.4181902166199
"8","l'antiga esquerra de l'eixample","2015-20",6084.79321872015,739.70582617001,514.707736389685,4134.25071633238,351.812320916905,344.316618911175,43112,141.139200656897,17.1577710653649,11.9388508162387,95.8955909336699,8.16042681659179,7.98656102503189,377,43112,48,131.681038060463,72.6494002406084,103,239.17998031556,131.957359809902,106,274.482624881406,151.434089279778,NA,NA,NA,235,35,77.0767237412873,27.3152781183792,42.6762776632942,98,187.480802576573,73.1441609240868,101.98255726219,70,153.993958607605,57.116042328297,85.6267847398213,62,11,24.1623771737053,20.7210329096403,12.9872621002228,22,45.6708387384633,33.8147269070186,25.4056282841742,24,52.2029301143491,35.3429043025771,29.0956748300011,60,6,13.458276226941,4.65037710153925,7.42503028956047,24,54.2738427034366,39.8463717760417,29.9432794518777,27,79.3320778787139,38.7228681459673,43.7680926777282
"9","la nova esquerra de l'eixample","2015-20",5394.93696275072,692.849570200573,387.397325692455,3641.89446036294,376.269340974212,296.526265520535,58642,91.9978336815033,11.8149034855662,6.60614108816982,62.1038583329856,6.41637974445299,5.05655103032869,545,58642,67,129.778670318329,101.344130634621,175,321.475534975299,251.040163475694,125,232.640077392633,181.668577249998,NA,NA,NA,157,26,41.3614507656861,15.928847867739,32.3785397777107,55,79.6717881981919,30.4017981417626,62.006200360853,55,92.1867198542591,40.3021226755114,71.2434773539747,50,5,8.15649376172564,5.29482818359775,6.38246272936758,16,21.8472269132321,15.2147875804072,16.9487401856495,27,49.1019297277224,32.9805548638383,37.8961603611518,84,12,22.3994411686044,15.5697927334812,17.4917179099264,35,63.9203972708056,43.6331424362852,49.9154219667984,34,62.9225277277971,47.1314449528466,49.1361858945308
"10","sant antoni","2015-20",6912.06017191977,789.619866284623,365.555396370583,4951.08261700095,340.367239732569,465.435052531041,38566,179.226784523149,20.4745077603232,9.478696166846,128.379469403126,8.82557796329848,12.0685332295556,365,38566,56,142.620357696602,75.2849372991374,139,381.577348164266,201.423045035613,101,254.926026274729,134.567674727326,NA,NA,NA,252,38,79.0702195338252,21.2828786247283,39.6823096634168,102,216.98072921074,90.7528279183068,109.007473244119,60,138.305459598665,50.6511889000678,71.0945123609069,50,5,8.5021844853078,6.12360566193311,4.34561015991986,26,55.592980050929,36.9649208806044,27.6949700289164,15,34.9439084156961,28.3457734225005,18.3859697939491,37,5,9.68631679614594,6.73114821238898,5.11311123064727,19,57.5697776713444,48.6963886863322,30.3893299127218,9,27.1499777801992,27.1499777801992,14.3316452704701
"11","el poble sec-parc montjuic","2015-20",8113.8629417383,1084.49522445081,1025.65902578797,5033.62464183381,427.195319961796,542.888729703916,40409,200.793460410757,26.8379624452674,25.3819452544722,124.566919296043,10.5717864822637,13.4348469327109,515,40409,101,203.620710808566,104.630277633925,216,423.42522149403,217.57658298216,159,309.524794076559,159.048973997842,NA,NA,NA,304,55,104.825030884932,27.0203738983053,55.473885368117,134,261.348967434175,110.507148926983,134.029934116818,65,111.177932289001,34.9749666008239,57.5080907419563,70,8,17.5760886570318,11.3903304550543,9.49933541761648,39,74.1912939571627,50.5525663743703,38.6532512466301,13,23.5008428018465,22.6493971869026,12.0864867911817,49,10,18.9249938924933,13.7302569936563,9.72458723539925,25,51.5640886622549,42.6290784447241,26.4961500784873,10,19.0541787227419,18.202733107798,9.79096871791803
"12","la marina del prat vermell-zona franca","2015-20",938.712989493792,93.0348615090736,141.438395415473,408.462273161414,88.383476599809,207.393982808023,1199,782.9132522884,77.5937126847986,117.963632540011,340.66911856665,73.7143257713169,172.972462725624,4,1199,0,0,0,0,0,0,0,0,0,NA,NA,NA,11,6,406.292695295454,235.578793240014,6.00824675051616,4,195.176777460257,34.7754307301865,3.13069961532869,0,0,0,0,7,5,376.310841316938,238.815555527919,5.57979256469122,1,60.1242928954189,7.51553661192736,1.12893347066053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","la marina de port","2015-20",1927.00525310411,342.299904489016,224.130850047756,915.486150907354,198.115568290353,246.972779369627,31087,61.9874948725868,11.011030478625,7.20979348434251,29.449163666721,6.37293943739677,7.94456780550158,434,31087,47,110.779801986563,41.0455538313272,113,261.99658093414,97.0736052377152,67,137.677111193434,51.0114044030983,NA,NA,NA,62,9,11.8469008139538,5.91856689840455,4.5984328206172,20,56.5553091582945,23.0445310561635,20.7812140808221,26,44.4564744334745,19.7213651519867,16.6450755677807,20,4,6.24622587525942,4.84114010912281,2.52329998443619,5,14.5040157612362,11.4047304206237,5.37395219184855,9,14.2408737565311,9.74816393363322,5.27645419017567,47,9,15.2853131349372,10.9391837365906,5.66343441546188,20,54.4288083778723,40.6213714264621,20.1666778978349,15,24.9425957223727,17.8703241416376,9.24160033739596
